Country,safe_water,sanitation_service,air_pollution,slum_population,co2_emissions,smoking_male,smoking_female,tuberculosis,HIV_total,HIV_male,HIV_female,HIV_youth_male,HIV_youth_female,HIV_therapy,diabetes
Cyprus,99.6,75.5,17.0,,5.3,53.0,20.0,5.0,,,,,,,9.0
Czech Republic,97.9,94.5,16.1,,9.2,38.0,31.0,5.0,0.1,89.0,11.0,0.1,0.1,60.0,7.0
Denmark,96.7,94.8,10.1,,5.9,19.0,19.0,5.0,0.1,74.0,26.0,0.1,0.1,89.0,8.3
Djibouti,,36.4,45.9,65.6,0.8,25.0,2.0,260.0,1.2,42.0,58.0,0.4,0.6,30.0,5.1
Dominica,,,20.0,,1.9,,,6.0,,,,,,,11.6
Dominican Republic,,,13.7,12.1,2.1,19.0,9.0,45.0,0.9,51.0,49.0,0.3,0.3,56.0,8.6
Ecuador,75.1,42.0,15.0,36.0,2.8,12.0,2.0,44.0,0.4,70.0,30.0,0.1,0.1,57.0,5.5
Egypt,,60.7,88.1,10.6,2.2,50.0,0.0,12.0,0.1,70.0,30.0,0.1,0.1,31.0,17.2
El Salvador,,,24.7,,1.0,19.0,3.0,70.0,0.6,63.0,37.0,0.2,0.1,47.0,8.8
Equatorial Guinea,,,54.5,66.2,4.8,,,201.0,7.1,48.0,52.0,1.8,3.3,34.0,6.0
Eritrea,,,48.7,,0.2,11.0,0.0,89.0,0.7,39.0,61.0,0.2,0.3,51.0,5.1
Estonia,93.3,97.4,6.8,,14.8,39.0,25.0,13.0,0.9,65.0,35.0,0.1,0.1,59.0,4.2
Eswatini,,,17.1,32.7,1.1,17.0,2.0,329.0,27.3,37.0,63.0,3.1,15.9,86.0,4.5
Ethiopia,11.4,,39.2,73.9,0.1,9.0,0.0,151.0,1.0,37.0,63.0,0.2,0.4,65.0,4.3
Faroe Islands,,,,,12.5,,,,,,,,,,4.7
Fiji,,,11.1,,1.4,35.0,10.0,54.0,,,,,,,14.7
Finland,99.6,99.2,5.9,,8.7,23.0,18.0,5.0,0.1,72.0,28.0,0.1,0.1,76.0,5.6
